日付,曜日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),最大瞬間風速(m/s),風向,天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時),最大風速(m/s),風向,平均気温(℃)
2019年1月23日,水,13.8,-1.1,,8,,14.5,西南西,晴,晴後時々曇,9.3,西南西,6
2019年1月24日,木,9.3,0.7,0,3,,10.3,北西,曇後一時晴,晴,7.1,北西,5.8
2019年1月25日,金,9.5,-1.9,0,1.8,,14.9,西北西,曇一時晴,晴時々曇,9.8,西,4.4
2019年1月26日,土,5.8,0,0,4.7,,17,北北西,曇後晴一時雪,晴,10.2,北北西,2.8
2019年1月27日,日,10.1,-0.7,0,5.2,,10.1,西北西,晴,晴一時薄曇,6.4,北北西,4
2019年1月28日,月,10.6,-0.3,0,0.8,,19,西北西,曇一時晴,曇時々晴一時みぞれ,10.9,西,4.8
2019年1月29日,火,9.8,0.3,0,5.1,,11.4,北北西,晴時々曇,快晴,6.7,北北西,5
2019年1月30日,水,11.8,-2,,7.7,,6,南,晴一時曇,晴後曇,3.8,南東,4
2019年1月31日,木,6.2,1.8,15.5,0,,8.1,北北西,雨一時曇,曇一時雨後時々晴,5.9,北北西,4.2
2019年2月1日,金,8.9,-0.2,0,4.3,,8.4,西南西,晴時々曇,快晴,5.7,西南西,3.8
2019年2月2日,土,11.1,-1.6,,7.5,,7.6,西南西,晴一時曇,晴後曇,5,南西,4.3
2019年2月3日,日,9,0.6,2.5,0,,5.3,北北西,曇後雨,雨後時々曇,4,北北西,4.9
2019年2月4日,月,14.8,3.8,0.5,6.5,,12.5,北北東,晴,快晴,8.9,北北西,9.8
2019年2月5日,火,11.9,0,,9.9,,7,南東,快晴,曇後雨,4.7,南東,6
2019年2月6日,水,12.2,4.9,4,2.3,,5.7,北東,曇時々雨後一時晴,晴後曇,4.3,北東,7.3
2019年2月7日,木,13.3,4.1,,0.5,,8.5,北西,曇,曇後晴,6.1,西北西,8.4
2019年2月8日,金,10.1,3.1,,3.4,,10.3,北北西,曇,曇,7.6,北北西,6.3
2019年2月9日,土,7.9,2.3,0,0,,12.8,北西,曇一時雨後一時晴,晴後一時薄曇,8.8,北北西,4.2
2019年2月10日,日,7.2,1.2,,5.3,,10.2,北北西,晴後曇,曇後時々雪,6.2,北西,3.7
2019年2月11日,月,4.3,0.1,5,0,3,7.5,東北東,雪後曇,晴一時曇,5.6,西北西,2.1
2019年2月12日,火,10.7,-1.5,,8.7,,9.9,西北西,晴,曇一時晴,6.8,西北西,4.4
2019年2月13日,水,12.5,2.3,,7.2,,9.9,南西,晴時々曇,晴後薄曇,6.7,南西,6.2
2019年2月14日,木,7.1,1,,0.9,,11.3,北西,曇,曇一時晴,7.6,北,4.2
2019年2月15日,金,8.3,-0.1,0,2.4,,6.2,東南東,曇,曇後一時晴,3.9,東南東,4.4
2019年2月16日,土,12.5,3.5,0,3.3,,14.3,西北西,曇後時々晴,晴時々曇,9.3,西北西,6.9
2019年2月17日,日,10.8,1.4,0,5.3,,9.1,南西,曇一時晴後時々雨,晴後一時薄曇,5.7,南南西,5.6
2019年2月18日,月,12.1,-1,,8.2,,5.2,南東,薄曇,曇後時々雨,3.5,南東,5.6
2019年2月19日,火,12.8,5.5,11,0,,7.5,東北東,雨後時々曇,曇,5.6,東北東,9.3
2019年2月20日,水,17.4,6.3,0,5.3,,15.6,北西,晴時々曇,晴後曇,11.6,西北西,11.6
2019年2月21日,木,10.8,5.6,,0.9,,11.6,北北西,曇後時々晴,曇,7.9,北北西,7.7
2019年2月22日,金,11.5,2.7,,4.3,,7.2,南東,曇,曇後一時晴,3.6,北,7.6
2019年2月23日,土,13.6,3.9,0,7.7,,15,北,晴一時曇,曇,10,北北西,8.6
2019年2月24日,日,12.7,1.7,,8.3,,6.7,南南東,曇一時晴,快晴,4.2,南東,6.5
2019年2月25日,月,16.1,1,,8.3,,8.4,南西,薄曇後時々晴,薄曇時々晴,6.4,南西,8.7
2019年2月26日,火,16.1,3.9,,9.7,,9.5,北北西,晴,晴後曇,6.1,北北西,9.6
2019年2月27日,水,10.6,2.2,0,0,,6,東北東,曇,雨一時曇,4.2,東北東,6.8
2019年2月28日,木,12.2,6.2,12,0,,8.3,北北西,曇時々雨,曇後晴,6.4,北西,8.5
2019年3月1日,金,16.3,2.9,,9,,10.6,西南西,晴,晴後一時薄曇,7.4,南西,8.9
2019年3月2日,土,14.7,1.7,,8.3,,8.5,南西,晴後曇,曇後雨,4.2,東,8.3
2019年3月3日,日,11.1,6,8,0,,6.3,東,雨,雨,4.2,東南東,8.4
2019年3月4日,月,12.7,5,14.5,0.4,,13.2,北,雨後曇一時晴,快晴,7.8,北北西,9.1
2019年3月5日,火,16.7,2.3,,10.3,,7.9,南南東,晴後時々薄曇,曇,5.1,南南東,9.4
2019年3月6日,水,14.5,7,11,0.5,,6.5,北北東,雨時々曇,雨後曇,4.3,東北東,9.8
2019年3月7日,木,11.8,4.8,0,3.4,,17.3,北北西,曇一時雨後時々晴,晴,11.2,北北西,9
2019年3月8日,金,14.1,0.7,0,11,,11,北北西,晴,快晴,6.1,南西,6.9
2019年3月9日,土,15.2,0.4,,11.1,,7.5,南東,晴時々薄曇,曇,5.1,南東,8
2019年3月10日,日,12,6.9,15,0,,9.5,東,雨,雨時々曇,6.5,東北東,9.8
2019年3月11日,月,16.6,6.5,6,5.8,,17.9,北西,晴一時曇,晴一時曇,12.3,西北西,11.9
2019年3月12日,火,15.4,5,0,3.5,,13.8,南西,曇後時々雨,晴後一時雨,9.6,南西,9.4
2019年3月13日,水,12.3,4.4,0,8.9,,18.4,西北西,晴,快晴,13.9,西北西,7.6
2019年3月14日,木,13.3,1.6,,6.8,,12.1,南西,薄曇一時晴,晴,9,南西,7.2
2019年3月15日,金,14.6,0.5,0,8.8,,12.3,北北西,晴後一時曇,晴時々曇後時々雨,8.4,北北西,7.2
2019年3月16日,土,13.6,1.7,7.5,6.1,,17.1,西北西,晴,晴,10.5,西,7.4
2019年3月17日,日,13.3,1.9,0,5.3,,17.3,西北西,曇一時雨後晴,快晴,10.9,北西,6.9
2019年3月18日,月,14.1,0.7,,10.2,,7.3,南東,薄曇,曇後雨,4.8,南東,7.8
2019年3月19日,火,15,6.5,13,1.8,,6.9,北北西,雨後曇一時晴,晴後一時曇,5.1,北北西,9.6
2019年3月20日,水,18.6,4.5,0,6.5,,7.2,南東,曇時々晴、霧を伴う,曇後雨,4.4,南東,11.4
2019年3月21日,木,23.3,12.6,3.5,2.8,,7.8,東北東,曇時々雨後一時晴,曇,5.5,東北東,16.4
2019年3月22日,金,15.8,7.3,,2.4,,13.4,北北西,曇後時々晴,曇時々晴,8.5,北北西,11.4
2019年3月23日,土,11.3,1.5,2.5,1.2,,9.3,北,曇後時々雨,晴一時曇,6.3,北,5.8
2019年3月24日,日,13.4,0.9,0,8.2,,10.4,南南西,晴,晴後一時薄曇,6.8,南西,6.9
2019年3月25日,月,13.4,2,,3.5,,6.7,南,曇,曇後時々晴,4.5,南南西,8.3
2019年3月26日,火,18.5,4.6,0,10.3,,15.4,西北西,晴一時曇,快晴,11,北西,11.2
2019年3月27日,水,20.9,4.2,,10,,16.1,西南西,晴時々薄曇,薄曇,10.3,南西,13.1
2019年3月28日,木,19.4,8.6,0,4.2,,10.4,北東,曇,薄曇,7.4,北東,13.8
2019年3月29日,金,16,6.1,,8.9,,7.2,南東,薄曇,曇,4.7,南東,10.7
2019年3月30日,土,16.4,8.4,2.5,0.8,,8.9,北西,曇時々雨,曇一時雨後時々晴,6.4,北西,11.2
2019年3月31日,日,13.9,5.4,0,9.8,,18.1,西,晴時々曇一時雨,晴後曇,12.2,西北西,9.6
2019年4月1日,月,13.2,2.8,0,6,,19.7,西北西,曇後晴,晴,12.6,西北西,7.2
2019年4月2日,火,12.3,0.3,0,5.8,,13.2,北,晴時々曇,晴一時曇,9.4,西,6.6
2019年4月3日,水,14.9,1.3,,10.4,,10.9,南西,晴,快晴,7.1,南西,7.9
2019年4月4日,木,17.7,1.7,,12,,11.1,南西,快晴,晴後薄曇,7.8,南西,10
2019年4月5日,金,19.9,5.5,,10.4,,15.7,南西,薄曇時々晴,晴,11,南西,12.9
2019年4月6日,土,22.2,7.3,,11.4,,10.6,南南西,快晴,快晴,7.1,南西,15.2
2019年4月7日,日,23.5,8,4.5,9,,9.8,南南西,曇時々晴,雨時々曇後一時晴,6.3,北西,15.9
2019年4月8日,月,22.9,8.6,9,10.1,,18,西北西,晴,薄曇後晴,12.6,西北西,14.6
2019年4月9日,火,17.9,5.2,0,10.7,,10.8,東,晴,曇後雨,7.1,東,11.8
2019年4月10日,水,11.7,7.4,27,0,,14.6,東北東,雨後時々曇,晴,9.8,東北東,9.4
2019年4月11日,木,15.3,6.3,0,6.4,,12.1,北北西,晴後薄曇,曇後一時晴,7.7,北,10.7
2019年4月12日,金,17.3,5.3,0,4.8,,7.4,北東,曇後一時晴,晴,5.4,北東,10.6
2019年4月13日,土,17.5,3.6,,8.5,,8.2,南東,晴後曇,曇,5.7,南東,10.8
2019年4月14日,日,15.4,9.6,7,0,,6.5,南南東,雨時々曇,曇一時雨後晴,4.6,南南東,12.3
2019年4月15日,月,18.7,8.2,0,10.2,,10.7,北北西,晴,晴,7.6,北北西,13.2
2019年4月16日,火,21.4,5,,11.4,,6.8,東南東,晴後薄曇,薄曇,4.7,南東,13.2
2019年4月17日,水,21.9,10.3,,8.4,,8,南東,曇,晴,5.2,東南東,15.5
2019年4月18日,木,25,9.2,,12.2,,10,西南西,晴後時々薄曇,晴,7.1,南西,17.1
2019年4月19日,金,22.1,11.9,0,2.7,,10,北北西,曇時々晴,曇後晴,7.1,北北西,16.2
2019年4月20日,土,22.2,7.4,,12.3,,7,南東,快晴,晴後曇,4.5,南東,14.9
2019年4月21日,日,27.4,11.6,,9.4,,11,南,晴時々曇,曇,6.9,南西,18.7
2019年4月22日,月,28.4,15.3,,11.3,,8,南東,晴一時曇,晴後薄曇,5.6,南,21.2
2019年4月23日,火,24.6,13.1,1.5,3.9,,7.7,東南東,曇後時々雨,雨,5,東北東,18.6
2019年4月24日,水,19.4,17.4,8,0,,12.5,東南東,雨後一時曇,曇一時雨,6.4,東南東,18.6
2019年4月25日,木,24.2,17.9,0.5,0.7,,6.9,北北西,曇,曇時々雨,4.4,北,20.5
2019年4月26日,金,25,11.6,5,3,,13.7,西,曇一時雨後時々晴,曇時々雨,9.9,西,18.5
2019年4月27日,土,16.8,7.9,2.5,8.2,,15.1,北西,晴一時雨,晴後一時薄曇,10.4,北西,11.8
2019年4月28日,日,16.1,6,,1.9,,5.5,南南東,曇,曇,3.8,南南東,11.6
2019年4月29日,月,16.5,10.9,25.5,0,,12.5,東北東,雨時々曇,大雨,8.7,東北東,12.8
2019年4月30日,火,18.2,12.4,13,0,,9.7,東北東,曇時々雨,雨時々曇,6.7,東北東,15.3
2019年5月1日,水,21.6,15.9,1.5,0.1,,7.8,北北西,曇,曇後晴,4.8,北北西,17.7
2019年5月2日,木,24.1,12.1,,10.9,,11,南西,晴後一時薄曇,薄曇一時晴,7.4,南西,18.2
2019年5月3日,金,26.9,13,,10.3,,7.1,南南東,晴一時薄曇,快晴,4.5,南南東,19.2
2019年5月4日,土,27.4,11.7,,12.5,,8.6,南,晴,薄曇時々晴,6,南南東,19.5
2019年5月5日,日,25.7,11.7,,11.9,,7.5,南東,薄曇,晴一時薄曇,5.1,南南東,18.9
2019年5月6日,月,25.5,10.6,4.5,5.4,,14.9,西北西,曇後時々雨、雷を伴う,晴一時曇,10.4,西北西,16.4
2019年5月7日,火,21.3,7.4,,13.2,,11.6,北北西,快晴,快晴,7.3,北北西,13.9
2019年5月8日,水,23.1,6.2,,11.1,,8.2,南東,晴後薄曇,曇,5.7,南東,14.8
2019年5月9日,木,23.8,11.7,0,5.5,,7.9,南南東,曇後晴,晴,6,南南東,16.2
2019年5月10日,金,27.4,11.4,,11.8,,5.2,東,薄曇,薄曇後晴,3.5,東南東,19
2019年5月11日,土,29.7,12.2,,13,,8.6,東,快晴,晴後一時薄曇,4.8,南南東,20.8
2019年5月12日,日,29.9,12.7,,11.9,,8.1,南東,薄曇,晴一時薄曇,5,南東,20.8
2019年5月13日,月,28.2,13.2,,12,,7.4,南南東,晴時々薄曇,曇,4.5,南南東,20.9
2019年5月14日,火,26.1,16.1,,6,,11.9,東北東,曇,晴時々薄曇,7.7,東南東,20.1
2019年5月15日,水,27.1,13.7,,12.4,,9.6,南南東,薄曇,薄曇,5.8,南南東,20.4
2019年5月16日,木,27.4,15.5,,11.2,,7.2,南南東,晴後時々薄曇,晴一時薄曇,4.6,南南東,21.4
2019年5月17日,金,27,15.2,,11.4,,12.6,東,薄曇時々晴,曇一時晴,7.9,東,21.6
2019年5月18日,土,23.4,19.6,0,0.9,,18.1,東,曇,曇,9.5,東南東,21.3
2019年5月19日,日,25.8,19.2,0,6.5,,20.1,東南東,曇,曇一時雨,11.2,東南東,21.7
2019年5月20日,月,24.2,18.7,30.5,0.8,,20.2,南東,曇時々雨,大雨後曇,11.7,東南東,21.2
2019年5月21日,火,25.6,15.4,0.5,9,,10.8,南西,薄曇一時晴,晴一時薄曇,6.9,南西,20.3
2019年5月22日,水,27.3,11.6,,13.1,,10.7,南,晴一時薄曇,快晴,7.7,南西,19.7
2019年5月23日,木,29.4,11.8,,13,,11.2,西南西,快晴,晴,7.6,南西,21.2
2019年5月24日,金,31.7,13.9,,13.4,,11.1,南西,快晴,快晴,7.8,南西,23.2
2019年5月25日,土,32.9,15.8,,12.3,,9.2,南南東,晴後薄曇,薄曇,6.3,南南西,24.1
2019年5月26日,日,32.3,17.8,,9.4,,6.8,南東,薄曇後晴,薄曇,4.5,東南東,24.4
2019年5月27日,月,27.6,17.6,0,2.4,,7.4,東南東,曇,曇時々雨,5.3,東南東,22.8
2019年5月28日,火,20.9,15.7,6.5,0,,9.7,北北西,雨時々曇,曇後時々晴,6.6,北北西,19.3
2019年5月29日,水,26.3,13.1,,7.4,,11.1,北西,曇後晴,快晴,7.8,北西,19.1
2019年5月30日,木,27.9,12.3,,12.3,,7.4,南南東,薄曇一時晴,薄曇,5.1,南東,20.4
2019年5月31日,金,22.7,17.7,0,0.2,,9.7,北北西,曇一時雨,曇,6.6,北北西,19.7
2019年6月1日,土,28.9,15.1,,11.8,,9.1,南,薄曇後一時晴,薄曇,6.7,南南東,21.6
2019年6月2日,日,23.6,17.1,,0,,6.7,東南東,曇,曇後一時晴,4.9,東北東,20.3
2019年6月3日,月,29.3,17.8,,10.7,,7,南東,薄曇,薄曇,4.5,南南東,23.4
2019年6月4日,火,29.6,18.4,,7.7,,10,東北東,薄曇,曇,6.5,東北東,23.7
2019年6月5日,水,31.2,20.4,0,7.9,,8,南西,晴時々曇,晴,5.5,西南西,25
2019年6月6日,木,32.8,18.5,,9.1,,7.4,東南東,晴後薄曇,曇後時々雨,4.9,東南東,25.5
2019年6月7日,金,24.2,19.9,39,0.1,,11.6,西南西,大雨後曇、雷を伴う,曇後時々晴,7,東,22.4
2019年6月8日,土,26.6,17.5,,6.5,,15,西南西,曇一時晴,薄曇,10.1,南西,22.4
2019年6月9日,日,26.5,15.1,,10.5,,8.5,南東,晴時々薄曇,曇後時々晴,5.1,南東,21.2
2019年6月10日,月,28.6,18.1,4,4.9,,10.4,北西,曇時々晴一時雨、雷を伴う,曇,6.1,北北西,21.6
2019年6月11日,火,26.8,18.2,0,4.1,,10.7,北北西,曇一時晴,曇後時々晴,7.6,北北西,21.6
2019年6月12日,水,27.7,16.7,0,8.9,,10.7,北,晴一時曇,快晴,6.5,北,21.9
2019年6月13日,木,28.7,15.9,,13.7,,8.3,南南東,快晴,晴後薄曇,5.4,南南東,22.5
2019年6月14日,金,26.8,19.4,0.5,2.6,,16.6,南東,曇後時々雨,曇後雨,9.7,南東,22.9
2019年6月15日,土,20.5,18.2,59,0,,14.5,北西,大雨、雷を伴う,雨後曇,9.2,北西,18.7
2019年6月16日,日,26,16.8,0,5.9,,13.9,西北西,晴時々曇,曇後一時晴,10.7,西北西,20.9
2019年6月17日,月,27.8,16.1,,11.4,,10.1,北北西,晴時々薄曇,晴後薄曇,7.4,北北西,21.6
2019年6月18日,火,26.8,17.2,,4.1,,8.1,南南西,薄曇,晴,5.5,南西,22.1
2019年6月19日,水,28.7,18.4,,9.5,,6.2,東,薄曇,薄曇後一時晴,4,東,23.4
2019年6月20日,木,32,20.7,,12.1,,8.6,西南西,晴時々薄曇,晴後薄曇,5,南西,26.2
2019年6月21日,金,29,20.9,0,1.7,,10.8,南南東,曇一時晴,曇後晴、雷を伴う,7.6,南南東,24.4
2019年6月22日,土,28.2,20.4,4,3.4,,9.7,西南西,晴後曇一時雨,曇時々晴一時雨,6.9,北西,23.4
2019年6月23日,日,26.8,19.7,0,1,,9.4,北東,曇,曇,5.8,東北東,22.7
2019年6月24日,月,29.6,19.6,,7.5,,8.8,北,晴,晴,6,北,23.5
2019年6月25日,火,30.4,17.7,,13.7,,8.6,東南東,快晴,晴後一時薄曇,6,南東,24.1
2019年6月26日,水,29.2,20.1,0.5,1.7,,9.5,東北東,曇,曇時々雨,6.4,東北東,23.8
2019年6月27日,木,29,23,21.5,0.6,,9.4,南南東,雨後曇,曇一時雨,6.6,南南東,25
2019年6月28日,金,32.3,23.3,0,9.1,,9.4,南西,曇,曇後一時雨,6.4,南西,27.6
2019年6月29日,土,31.4,24,10.5,3.9,,10.3,南西,曇,雨一時曇,7.6,南西,27
2019年6月30日,日,31.4,23.9,14.5,1.7,,12.8,西南西,曇一時雨,曇一時雨,9.4,西南西,26.4
2019年7月1日,月,29.5,23.4,0,0.4,,9.3,南西,曇,雨時々曇,6.5,南西,26.1
2019年7月2日,火,28.4,22.2,0.5,0.5,,6.7,南西,曇,曇,5.2,南西,24.5
2019年7月3日,水,25.5,21.3,0,0,,7.3,東,曇後一時雨,曇一時雨,5.2,東,23.3
2019年7月4日,木,30.9,21.6,0,6.4,,7.9,南,曇後時々晴,晴後一時薄曇,5.4,南南西,25.8
2019年7月5日,金,29.3,21.5,0,0.8,,6.7,東,曇,晴一時曇,4.2,東,25.4
2019年7月6日,土,31.1,22.8,0,4.1,,9.1,南東,晴後一時曇,晴一時曇,5.7,南東,25.8
2019年7月7日,日,31.6,22.4,0,4.8,,7.3,北北東,晴時々曇,晴後時々曇,4.9,北,26.1
2019年7月8日,月,27.8,20.6,0,1.5,,9.4,東北東,曇,曇後時々雨,6.1,東北東,24.6
2019年7月9日,火,28.8,21.9,5,2.2,,10.9,東北東,曇時々雨,曇時々雨,7.2,東,24.8
2019年7月10日,水,29.1,22.6,2,0.4,,13.6,東南東,曇一時雨,雨,7.4,東南東,25.2
2019年7月11日,木,27.9,22.3,19,0.4,,17.7,東南東,雨後時々曇,曇,10.3,東南東,23.9
2019年7月12日,金,31,23.4,,10,,10.8,西,晴一時曇,晴後薄曇,7.5,南西,26.6
2019年7月13日,土,26.7,20.7,18,0,,8.5,南南東,雨一時曇,雨,5.9,南,23
2019年7月14日,日,25.6,20.5,15,0.2,,4.6,北東,雨時々曇,雨後曇,3.2,北東,22.7
2019年7月15日,月,30,21.5,0,3.7,,6.3,南南東,曇時々晴,曇,4.3,南南東,25.3
2019年7月16日,火,32,21.9,,11.8,,8.9,南東,晴,曇時々晴,5.9,南東,26.2
2019年7月17日,水,32.6,23.3,0,7.1,,7,東南東,曇一時晴,曇後一時雨,4.8,南東,27.1
2019年7月18日,木,28.1,22.7,30.5,0,,9.5,西北西,曇時々雨,大雨,5.4,西北西,25.2
2019年7月19日,金,25.5,22.6,23,0,,7.1,東北東,雨,雨一時曇,5.2,東北東,23.9
2019年7月20日,土,28.8,24.2,12,0,,9.4,東,曇時々雨,曇時々雨,7.1,東北東,26.1
2019年7月21日,日,30.5,25.1,0.5,0,,8.4,東北東,曇時々雨,曇時々雨,6.7,東北東,27.2
2019年7月22日,月,28.3,24.7,12,0.3,,10.7,南西,曇時々雨,曇一時雨,6.5,南西,26.1
2019年7月23日,火,31.7,23.8,0,5,,12.3,南南西,曇,曇,8.6,南西,27.2
2019年7月24日,水,32.9,24.6,,4.6,,9,西南西,曇,曇一時晴,5.8,南西,28.5
2019年7月25日,木,33.8,25.2,0,7,,7.6,東南東,曇後晴,晴,5.8,東北東,28.8
